timestamp,location_name,coordinates,lat,lon,speed,free_flow_speed,vehicle_count,confidence,road_closure
2026-05-01T00:00:00,Ring Road - Maadi,"29.9544,31.2858",29.9544,31.2858,66,66,8,0.916624,False
2026-05-01T00:15:00,October Bridge,"30.0526,31.2372",30.0526,31.2372,53,63,22,0.982404,False
2026-05-01T00:30:00,26th July Corridor,"30.0381,31.0264",30.0381,31.0264,42,59,6,0.999983,False
2026-05-01T00:45:00,Abbas El Akkad,"30.0631,31.3341",30.0631,31.3341,66,77,47,0.967854,False
2026-05-01T01:00:00,Galaa Square,"30.0398,31.2188",30.0398,31.2188,37,79,26,0.937857,False
2026-05-01T01:15:00,Salah Salem,"30.0645,31.282",30.0645,31.282,53,61,27,0.929527,False
2026-05-01T01:30:00,Autostrad - Sheraton,"30.1065,31.3711",30.1065,31.3711,46,67,45,0.890732,False
2026-05-01T01:45:00,Tahrir Square,"30.0444,31.2357",30.0444,31.2357,73,73,11,0.855849,False
2026-05-01T02:00:00,Corniche El Nil,"30.0263,31.2268",30.0263,31.2268,58,80,22,0.935296,False
2026-05-01T02:15:00,Mosheer Tantawy Axis,"30.0242,31.3486",30.0242,31.3486,57,66,37,0.962666,False
2026-05-01T02:30:00,Rod El Farag Axis,"30.0881,31.2185",30.0881,31.2185,53,62,40,0.876117,False
2026-05-01T02:45:00,Ring Road - Marg,"30.1554,31.3323",30.1554,31.3323,54,79,8,0.875785,False
2026-05-01T03:00:00,Ring Road - Moneeb,"29.9881,31.2227",29.9881,31.2227,51,66,46,0.950767,False
2026-05-01T03:15:00,Gamaat El Dowal St,"30.0543,31.2005",30.0543,31.2005,55,59,14,0.947783,False
2026-05-01T03:30:00,Faisal Street,"30.0051,31.1574",30.0051,31.1574,54,79,46,0.937941,False
2026-05-01T03:45:00,North 90th Street,"30.0308,31.4721",30.0308,31.4721,37,72,34,0.9423,False
2026-05-01T04:00:00,South 90th Street,"30.0195,31.4326",30.0195,31.4326,57,66,5,0.969576,False
2026-05-01T04:15:00,Ring Road - Maadi,"29.9544,31.2858",29.9544,31.2858,53,73,14,0.894678,False
2026-05-01T04:30:00,October Bridge,"30.0526,31.2372",30.0526,31.2372,36,73,13,0.916235,False
2026-05-01T04:45:00,26th July Corridor,"30.0381,31.0264",30.0381,31.0264,54,75,44,0.910934,False
2026-05-01T05:00:00,Abbas El Akkad,"30.0631,31.3341",30.0631,31.3341,71,71,38,0.855747,False
2026-05-01T05:15:00,Galaa Square,"30.0398,31.2188",30.0398,31.2188,35,62,24,0.930007,False
2026-05-01T05:30:00,Salah Salem,"30.0645,31.282",30.0645,31.282,67,79,6,0.980271,False
2026-05-01T05:45:00,Autostrad - Sheraton,"30.1065,31.3711",30.1065,31.3711,73,74,17,0.874355,False
2026-05-01T06:00:00,Tahrir Square,"30.0444,31.2357",30.0444,31.2357,74,74,49,0.852358,False
2026-05-01T06:15:00,Corniche El Nil,"30.0263,31.2268",30.0263,31.2268,60,79,15,0.90214,False
2026-05-01T06:30:00,Mosheer Tantawy Axis,"30.0242,31.3486",30.0242,31.3486,44,65,6,0.864627,False
2026-05-01T06:45:00,Rod El Farag Axis,"30.0881,31.2185",30.0881,31.2185,72,80,27,0.979532,False
2026-05-01T07:00:00,Ring Road - Marg,"30.1554,31.3323",30.1554,31.3323,46,63,10,0.916266,False
2026-05-01T07:15:00,Ring Road - Moneeb,"29.9881,31.2227",29.9881,31.2227,61,66,15,0.882334,False
2026-05-01T07:30:00,Gamaat El Dowal St,"30.0543,31.2005",30.0543,31.2005,50,66,24,0.850347,False
2026-05-01T07:45:00,Faisal Street,"30.0051,31.1574",30.0051,31.1574,67,73,42,0.93173,False
2026-05-01T08:00:00,North 90th Street,"30.0308,31.4721",30.0308,31.4721,36,64,21,0.878119,False
2026-05-01T08:15:00,South 90th Street,"30.0195,31.4326",30.0195,31.4326,62,74,39,0.853069,False
2026-05-01T08:30:00,Ring Road - Maadi,"29.9544,31.2858",29.9544,31.2858,75,75,32,0.96325,False
2026-05-01T08:45:00,October Bridge,"30.0526,31.2372",30.0526,31.2372,55,65,34,0.85379,False
2026-05-01T09:00:00,26th July Corridor,"30.0381,31.0264",30.0381,31.0264,66,80,41,0.946134,False
2026-05-01T09:15:00,Abbas El Akkad,"30.0631,31.3341",30.0631,31.3341,49,57,39,0.99098,False
2026-05-01T09:30:00,Galaa Square,"30.0398,31.2188",30.0398,31.2188,35,80,11,0.942569,False
2026-05-01T09:45:00,Salah Salem,"30.0645,31.282",30.0645,31.282,64,78,13,0.864042,False
